u,v,key,birds,birds_per_m
118769,4726329537,0,0.0,0.0
118769,5845806145,0,0.0,0.0
18222738,5845806145,0,0.0,0.0
18222738,118769,0,0.0,0.0
4726329537,118769,0,0.0,0.0
4726329537,5221431951,0,0.0,0.0
4726329537,5887571967,0,0.0,0.0
5845806145,18222738,0,0.0,0.0
5845806145,1586916024,0,0.0,0.0
5845806145,118769,0,0.0,0.0
118773,1420336522,0,0.0,0.0
118773,1052455428,0,0.0,0.0
1420336522,6651812226,0,0.0,0.0
1420336522,1055200733,0,0.0,0.0
118779,5706462979,0,0.0,0.0
118779,118780,0,0.0,0.0
5706462979,5706462980,0,0.0,0.0
5706462979,1052770943,0,0.0,0.0
5706462979,5706462978,0,0.0,0.0
118780,18227471,0,1.0,0.0087527352297593
18227471,18227470,0,1.0,0.10081661457808247
18227471,7206346840,0,1.0,0.025755273392227055
118781,118787,0,0.0,0.0
118781,118792,0,8.0,0.024793593335482113
118781,1555492641,0,0.0,0.0
118787,118781,0,0.0,0.0
118787,274394389,0,0.0,0.0
118787,8919786,0,2.0,0.028372013845542755
118792,118806,0,4.0,0.2846367323703124
118792,274068932,0,7.0,0.025659353750847675
1555492641,118783,0,0.0,0.0
1555492641,1555492657,0,0.0,0.0
1555492641,118781,0,0.0,0.0
118783,118784,0,0.0,0.0
118783,1555492647,0,0.0,0.0
118783,1555492641,0,0.0,0.0
118784,118783,0,0.0,0.0
118784,289167874,0,0.0,0.0
118784,5930921296,0,1.0,0.017649446689846273
1555492647,118783,0,0.0,0.0
1555492647,1555693141,0,1.0,0.19485580670303976
1555492647,1555492649,0,0.0,0.0
289167874,118784,0,0.0,0.0
5930921296,1555492653,0,1.0,0.06896551724137931
5930921296,118784,0,1.0,0.017649446689846273
5930921296,1555693141,0,1.0,0.03459609064175748
274394389,118787,0,0.0,0.0
274394389,5725044695,0,0.0,0.0
274394389,274394353,0,0.0,0.0
8919786,274394353,0,2.0,0.07634753397465262
8919786,5394379177,0,2.0,0.008850889071807262
8919786,26212051,0,2.0,0.1582278481012658
118806,118792,0,4.0,0.2846367323703124
118806,4174194264,0,4.0,0.07607455306200077
118806,6296200450,0,6.0,0.04196567208023836
274068932,274068961,0,1.0,0.003188226517117588
274068932,107456766,0,40.0,0.13154000460390014
4174194264,8485467329,0,0.0,0.0
4174194264,4174194263,0,0.0,0.0
4174194264,118806,0,4.0,0.07607455306200077
6296200450,10027835739,0,1.0,0.043907793633369926
6296200450,118787,0,3.0,0.017236426314277506
118807,118806,0,5.0,0.04719474439326436
118819,543377690,0,21.0,0.02581958747676237
543377690,25508620,0,1.0,0.011116916612008493
543377690,118819,0,21.0,0.025819587476762378
543377690,543377694,0,4.0,0.16340536786633442
118824,2205997340,0,58.0,0.10256972530766495
2205997340,2205997347,0,13.0,0.10159583613373138
2205997340,411806240,0,16.0,0.12254338801832027
118848,9821947420,0,5.0,0.7388798581350672
